datetime,weekday,diferencia
2020-09-18 17:46:10,4,3.616666674
2020-09-18 17:48:41,4,2.516666658
2020-09-18 18:06:08,4,17.45
2020-09-18 18:45:24,4,39.26666667
2020-09-18 18:45:24,4,0
2020-09-18 18:58:29,4,13.08333333
2020-09-18 19:05:53,4,7.400000001
2020-09-18 19:14:24,4,8.516666667
2020-09-18 20:15:34,4,61.16666666
2020-09-18 20:45:22,4,29.8
2020-09-18 20:51:36,4,6.233333334
2020-09-18 21:33:38,4,42.03333334
2020-09-18 21:44:24,4,10.76666666
2020-09-18 21:49:46,4,5.366666674
2020-09-18 21:50:51,4,1.083333325
2020-09-18 22:06:32,4,15.68333334
2020-09-18 22:18:59,4,12.45
2020-09-18 22:20:59,4,1.999999996
2020-09-21 01:22:29,0,3061.5
2020-09-21 03:16:41,0,114.2
2020-09-21 03:16:48,0,0.116666663
2020-09-21 05:14:05,0,117.2833333
2020-09-21 05:25:01,0,10.93333334
2020-09-21 06:09:40,0,44.64999999
2020-09-21 06:22:11,0,12.51666667
2020-09-21 07:02:44,0,40.55
2020-09-21 07:05:05,0,2.350000005
2020-09-21 07:09:40,0,4.583333336
2020-09-21 07:19:06,0,9.433333328
2020-09-21 07:38:25,0,19.31666667
2020-09-21 08:08:01,0,29.6
2020-09-21 08:42:07,0,34.1
2020-09-21 09:56:18,0,74.18333333
2020-09-21 10:32:52,0,36.56666667
2020-09-21 10:48:31,0,15.65
2020-09-21 11:07:55,0,19.4
2020-09-21 11:15:39,0,7.733333329
2020-09-21 11:25:48,0,10.15
2020-09-21 11:50:58,0,25.16666667
2020-09-21 11:50:58,0,0
2020-09-21 11:51:10,0,0.199999994
2020-09-21 12:35:45,0,44.58333333
2020-09-21 12:54:06,0,18.35
2020-09-21 12:59:32,0,5.433333336
2020-09-21 13:05:57,0,6.416666668
2020-09-21 13:11:20,0,5.383333324
2020-09-21 13:29:33,0,18.21666667
2020-09-21 14:02:27,0,32.9
2020-09-21 14:24:40,0,22.21666666
2020-09-21 14:24:56,0,0.266666666
2020-09-21 14:24:56,0,0
2020-09-21 14:27:42,0,2.766666674
2020-09-21 14:27:45,0,0.050000001
2020-09-21 14:34:06,0,6.349999997
2020-09-21 14:42:48,0,8.700000001
2020-09-21 14:43:01,0,0.216666665
2020-09-21 14:48:29,0,5.466666666
2020-09-21 15:09:32,0,21.05
2020-09-21 15:13:39,0,4.116666665
2020-09-21 15:31:07,0,17.46666667
2020-09-21 15:34:56,0,3.816666668
2020-09-21 16:07:44,0,32.8
2020-09-21 16:19:59,0,12.24999999
2020-09-21 16:26:34,0,6.583333343
2020-09-21 16:28:32,0,1.966666665
2020-09-21 16:32:39,0,4.116666665
2020-09-21 16:32:48,0,0.150000004
2020-09-21 16:54:46,0,21.96666666
2020-09-21 17:05:40,0,10.9
2020-09-21 17:25:25,0,19.75000001
2020-09-21 18:19:22,0,53.95
2020-09-21 18:24:14,0,4.866666662
2020-09-21 18:57:26,0,33.20000001
2020-09-21 18:58:25,0,0.983333333
2020-09-21 19:06:20,0,7.916666663
2020-09-21 19:17:15,0,10.91666666
2020-09-21 19:23:06,0,5.850000005
2020-09-21 19:23:58,0,0.86666667
2020-09-21 19:49:56,0,25.96666666
2020-09-21 20:16:12,0,26.26666667
2020-09-21 20:31:18,0,15.1
2020-09-21 20:52:19,0,21.01666667
2020-09-21 20:52:53,0,0.566666673
2020-09-21 20:58:28,0,5.583333329
2020-09-21 21:20:02,0,21.56666667
2020-09-21 21:43:18,0,23.26666667
2020-09-21 21:57:21,0,14.04999999
2020-09-21 21:59:16,0,1.916666675
2020-09-22 05:15:52,1,436.6
2020-09-22 06:44:31,1,88.65
2020-09-22 06:57:57,1,13.43333333
2020-09-22 07:07:20,1,9.383333337
2020-09-22 07:11:30,1,4.166666666
2020-09-22 07:12:53,1,1.383333332
2020-09-22 09:12:10,1,119.2833333
2020-09-22 10:06:01,1,53.84999999
2020-09-22 10:21:33,1,15.53333334
2020-09-22 10:48:30,1,26.94999999
2020-09-22 10:48:54,1,0.399999999
2020-09-22 11:42:45,1,53.85
2020-09-22 11:46:20,1,3.583333333
2020-09-22 12:34:13,1,47.88333334
2020-09-22 13:30:51,1,56.63333333
2020-09-22 13:34:32,1,3.683333335
2020-09-22 13:49:02,1,14.49999999
2020-09-22 13:56:39,1,7.616666666
2020-09-22 14:03:52,1,7.216666667
2020-09-22 14:13:19,1,9.450000009
2020-09-22 14:21:29,1,8.166666658
2020-09-22 14:21:43,1,0.233333335
2020-09-22 14:30:22,1,8.65
2020-09-22 14:32:43,1,2.350000005
2020-09-22 14:48:05,1,15.36666667
2020-09-22 15:11:40,1,23.58333334
